"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Missouri"	"29"	"2013"	"2013"	"Intentional self-harm by jumping or lying before moving object"	"X81"	10	6044171	Unreliable	Unreliable	0.1	0.4
"Total"	"Missouri"	"29"	"2013"	"2013"			960	6044171	15.9	15.6	14.6	16.6
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	20	6063589	0.3	0.3	0.2	0.5
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	23	6063589	0.4	0.3	0.2	0.5
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	61	6063589	1.0	1.0	0.8	1.3
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	25	6063589	0.4	0.4	0.3	0.6
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	243	6063589	4.0	4.2	3.6	4.7
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	222	6063589	3.7	3.4	2.9	3.8
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	97	6063589	1.6	1.5	1.2	1.9
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	269	6063589	4.4	4.3	3.7	4.8
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-harm by jumping from a high place"	"X80"	11	6063589	Unreliable	Unreliable	0.1	0.3
	"Missouri"	"29"	"2014"	"2014"	"Intentional self-harm by jumping or lying before moving object"	"X81"	10	6063589	Unreliable	Unreliable	0.1	0.3
"Total"	"Missouri"	"29"	"2014"	"2014"			1017	6063589	16.8	16.3	15.3	17.4
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	26	6083672	0.4	0.4	0.3	0.6
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	23	6083672	0.4	0.4	0.2	0.5
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	66	6083672	1.1	1.1	0.8	1.4
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	40	6083672	0.7	0.7	0.5	0.9
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	229	6083672	3.8	4.0	3.5	4.5
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	225	6083672	3.7	3.6	3.1	4.0
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	85	6083672	1.4	1.3	1.0	1.6
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	295	6083672	4.8	4.7	4.2	5.3
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by sharp object"	"X78"	19	6083672	Unreliable	Unreliable	0.2	0.5
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by jumping from a high place"	"X80"	11	6083672	Unreliable	Unreliable	0.1	0.3
	"Missouri"	"29"	"2015"	"2015"	"Intentional self-harm by jumping or lying before moving object"	"X81"	10	6083672	Unreliable	Unreliable	0.1	0.3
"Total"	"Missouri"	"29"	"2015"	"2015"			1052	6083672	17.3	17.1	16.0	18.1
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	24	6093000	0.4	0.4	0.2	0.5
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	6093000	Unreliable	Unreliable	0.1	0.3
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	84	6093000	1.4	1.4	1.1	1.7
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	29	6093000	0.5	0.4	0.3	0.6
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	270	6093000	4.4	4.7	4.1	5.2
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	221	6093000	3.6	3.5	3.1	4.0
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	79	6093000	1.3	1.3	1.0	1.6
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	350	6093000	5.7	5.6	5.0	6.2
	"Missouri"	"29"	"2016"	"2016"	"Intentional self-harm by sharp object"	"X78"	18	6093000	Unreliable	Unreliable	0.2	0.5
"Total"	"Missouri"	"29"	"2016"	"2016"			1133	6093000	18.6	18.4	17.3	19.5
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	28	6113532	0.5	0.4	0.3	0.6
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	6113532	Unreliable	Unreliable	0.1	0.4
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	59	6113532	1.0	1.0	0.7	1.3
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	33	6113532	0.5	0.6	0.4	0.8
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	251	6113532	4.1	4.3	3.8	4.9
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-harm by handgun discharge"	"X72"	240	6113532	3.9	3.8	3.3	4.2
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	91	6113532	1.5	1.4	1.1	1.7
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	370	6113532	6.1	5.8	5.2	6.4
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-harm by sharp object"	"X78"	22	6113532	0.4	0.3	0.2	0.5
	"Missouri"	"29"	"2017"	"2017"	"Intentional self-harm by jumping from a high place"	"X80"	14	6113532	Unreliable	Unreliable	0.1	0.4
"Total"	"Missouri"	"29"	"2017"	"2017"			1151	6113532	18.8	18.5	17.4	19.6
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	27	6126452	0.4	0.4	0.3	0.6
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	15	6126452	Unreliable	Unreliable	0.1	0.4
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	68	6126452	1.1	1.0	0.8	1.3
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	23	6126452	0.4	0.3	0.2	0.5
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	310	6126452	5.1	5.4	4.7	6.0
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	263	6126452	4.3	4.0	3.5	4.5
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	89	6126452	1.5	1.4	1.1	1.7
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	374	6126452	6.1	5.8	5.2	6.4
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm by jumping from a high place"	"X80"	14	6126452	Unreliable	Unreliable	0.1	0.4
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm by jumping or lying before moving object"	"X81"	11	6126452	Unreliable	Unreliable	0.1	0.3
"Total"	"Missouri"	"29"	"2018"	"2018"			1230	6126452	20.1	19.5	18.4	20.6
"Total"	"Missouri"	"29"					17430	117881909	14.8	14.6	14.4	14.8
	"Montana"	"30"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	897507	Unreliable	Unreliable	1.1	3.0
	"Montana"	"30"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	22	897507	2.5	2.5	1.5	3.7
	"Montana"	"30"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	18	897507	Unreliable	Unreliable	1.2	3.1
	"Montana"	"30"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	74	897507	8.2	8.1	6.3	10.1
"Total"	"Montana"	"30"	"1999"	"1999"			162	897507	18.0	17.7	15.0	20.4
	"Montana"	"30"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	902195	Unreliable	Unreliable	0.6	2.1
	"Montana"	"30"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	23	902195	2.5	2.6	1.7	4.0
	"Montana"	"30"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	16	902195	Unreliable	Unreliable	1.0	2.9
	"Montana"	"30"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	89	902195	9.9	9.8	7.8	12.0
"Total"	"Montana"	"30"	"2000"	"2000"			158	902195	17.5	17.5	14.8	20.2
	"Montana"	"30"	"2001"	"2001"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	12	906961	Unreliable	Unreliable	0.7	2.3
	"Montana"	"30"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	15	906961	Unreliable	Unreliable	1.0	2.8
	"Montana"	"30"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	33	906961	3.6	3.6	2.5	5.1
	"Montana"	"30"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	18	906961	Unreliable	Unreliable	1.2	3.3
	"Montana"	"30"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	82	906961	9.0	9.0	7.2	11.2
"Total"	"Montana"	"30"	"2001"	"2001"			175	906961	19.3	19.3	16.4	22.2
	"Montana"	"30"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	16	911667	Unreliable	Unreliable	1.0	2.9
	"Montana"	"30"	"2002"	"2002"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	10	911667	Unreliable	Unreliable	0.5	2.1
	"Montana"	"30"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	26	911667	2.9	2.8	1.8	4.1
	"Montana"	"30"	"2002"	"2002"	"Intentional self-harm by handgun discharge"	"X72"	16	911667	Unreliable	Unreliable	1.0	2.8
	"Montana"	"30"	"2002"	"2002"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	11	911667	Unreliable	Unreliable	0.6	2.2
	"Montana"	"30"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	88	911667	9.7	9.6	7.7	11.8
"Total"	"Montana"	"30"	"2002"	"2002"			184	911667	20.2	20.0	17.1	22.9
	"Montana"	"30"	"2003"	"2003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	11	919630	Unreliable	Unreliable	0.6	2.3
	"Montana"	"30"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	31	919630	3.4	3.6	2.4	5.2
	"Montana"	"30"	"2003"	"2003"	"Intentional self-harm by handgun discharge"	"X72"	20	919630	2.2	2.1	1.3	3.2
	"Montana"	"30"	"2003"	"2003"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	17	919630	Unreliable	Unreliable	1.1	3.2
	"Montana"	"30"	"2003"	"2003"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	83	919630	9.0	8.6	6.8	10.7
"Total"	"Montana"	"30"	"2003"	"2003"			180	919630	19.6	19.5	16.6	22.3
	"Montana"	"30"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	18	930009	Unreliable	Unreliable	1.1	3.1
	"Montana"	"30"	"2004"	"2004"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	14	930009	Unreliable	Unreliable	0.9	2.7
	"Montana"	"30"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	25	930009	2.7	2.9	1.8	4.3
	"Montana"	"30"	"2004"	"2004"	"Intentional self-harm by handgun discharge"	"X72"	22	930009	2.4	2.3	1.4	3.5
	"Montana"	"30"	"2004"	"2004"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	13	930009	Unreliable	Unreliable	0.7	2.3
	"Montana"	"30"	"2004"	"2004"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	70	930009	7.5	7.3	5.7	9.3
"Total"	"Montana"	"30"	"2004"	"2004"			175	930009	18.8	18.8	16.0	21.6
	"Montana"	"30"	"2005"	"2005"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	13	940102	Unreliable	Unreliable	0.7	2.2
	"Montana"	"30"	"2005"	"2005"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	32	940102	3.4	3.5	2.4	5.0
	"Montana"	"30"	"2005"	"2005"	"Intentional self-harm by handgun discharge"	"X72"	26	940102	2.8	2.8	1.8	4.1
	"Montana"	"30"	"2005"	"2005"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	14	940102	Unreliable	Unreliable	0.8	2.4
	"Montana"	"30"	"2005"	"2005"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	95	940102	10.1	10.0	8.0	12.2
"Total"	"Montana"	"30"	"2005"	"2005"			206	940102	21.9	21.7	18.7	24.7
	"Montana"	"30"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	12	952692	Unreliable	Unreliable	0.6	2.1
	"Montana"	"30"	"2006"	"2006"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	18	952692	Unreliable	Unreliable	1.3	3.4
	"Montana"	"30"	"2006"	"2006"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	30	952692	3.1	3.2	2.1	4.5
	"Montana"	"30"	"2006"	"2006"	"Intentional self-harm by handgun discharge"	"X72"	18	952692	Unreliable	Unreliable	1.0	2.6
	"Montana"	"30"	"2006"	"2006"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	952692	Unreliable	Unreliable	0.5	1.9
	"Montana"	"30"	"2006"	"2006"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	74	952692	7.8	7.8	6.1	9.8
"Total"	"Montana"	"30"	"2006"	"2006"			189	952692	19.8	19.7	16.8	22.6
	"Montana"	"30"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	17	964706	Unreliable	Unreliable	0.9	2.7
	"Montana"	"30"	"2007"	"2007"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	964706	Unreliable	Unreliable	0.5	1.9
	"Montana"	"30"	"2007"	"2007"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	27	964706	2.8	2.8	1.9	4.2
	"Montana"	"30"	"2007"	"2007"	"Intentional self-harm by handgun discharge"	"X72"	27	964706	2.8	2.9	1.9	4.2
	"Montana"	"30"	"2007"	"2007"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	17	964706	Unreliable	Unreliable	1.0	2.7
	"Montana"	"30"	"2007"	"2007"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	76	964706	7.9	7.2	5.6	9.0
"Total"	"Montana"	"30"	"2007"	"2007"			196	964706	20.3	19.4	16.6	22.2
	"Montana"	"30"	"2008"	"2008"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	15	976415	Unreliable	Unreliable	0.8	2.4
	"Montana"	"30"	"2008"	"2008"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	25	976415	2.6	2.6	1.7	3.9
	"Montana"	"30"	"2008"	"2008"	"Intentional self-harm by handgun discharge"	"X72"	27	976415	2.8	2.7	1.7	3.9
	"Montana"	"30"	"2008"	"2008"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	20	976415	2.0	2.0	1.2	3.2
	"Montana"	"30"	"2008"	"2008"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	85	976415	8.7	8.5	6.8	10.6
"Total"	"Montana"	"30"	"2008"	"2008"			203	976415	20.8	20.6	17.7	23.5
	"Montana"	"30"	"2009"	"2009"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	18	983982	Unreliable	Unreliable	1.0	2.8
	"Montana"	"30"	"2009"	"2009"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	36	983982	3.7	3.9	2.7	5.5
	"Montana"	"30"	"2009"	"2009"	"Intentional self-harm by handgun discharge"	"X72"	32	983982	3.3	2.9	1.9	4.1
	"Montana"	"30"	"2009"	"2009"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	17	983982	Unreliable	Unreliable	1.0	2.8
	"Montana"	"30"	"2009"	"2009"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	87	983982	8.8	8.1	6.5	10.1
"Total"	"Montana"	"30"	"2009"	"2009"			219	983982	22.3	21.2	18.3	24.1
	"Montana"	"30"	"2010"	"2010"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	17	989415	Unreliable	Unreliable	0.9	2.8
	"Montana"	"30"	"2010"	"2010"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	989415	Unreliable	Unreliable	0.4	1.7
	"Montana"	"30"	"2010"	"2010"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	35	989415	3.5	3.7	2.5	5.1
	"Montana"	"30"	"2010"	"2010"	"Intentional self-harm by handgun discharge"	"X72"	45	989415	4.5	4.3	3.1	5.8
	"Montana"	"30"	"2010"	"2010"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	989415	Unreliable	Unreliable	0.4	1.7
	"Montana"	"30"	"2010"	"2010"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	86	989415	8.7	7.7	6.1	9.6
"Total"	"Montana"	"30"	"2010"	"2010"			227	989415	22.9	21.8	18.8	24.7
	"Montana"	"30"	"2011"	"2011"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	17	998199	Unreliable	Unreliable	0.9	2.5
	"Montana"	"30"	"2011"	"2011"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	45	998199	4.5	4.6	3.3	6.3
	"Montana"	"30"	"2011"	"2011"	"Intentional self-harm by handgun discharge"	"X72"	35	998199	3.5	3.4	2.3	4.8
	"Montana"	"30"	"2011"	"2011"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	20	998199	2.0	2.0	1.2	3.1
	"Montana"	"30"	"2011"	"2011"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	97	998199	9.7	9.3	7.5	11.5
"Total"	"Montana"	"30"	"2011"	"2011"			232	998199	23.2	22.5	19.5	25.5
	"Montana"	"30"	"2012"	"2012"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	20	1005141	2.0	2.0	1.2	3.1
	"Montana"	"30"	"2012"	"2012"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	43	1005141	4.3	4.2	3.0	5.7
	"Montana"	"30"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	42	1005141	4.2	4.4	3.1	6.0
	"Montana"	"30"	"2012"	"2012"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	19	1005141	Unreliable	Unreliable	1.0	2.8
	"Montana"	"30"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	92	1005141	9.2	8.7	6.9	10.7
"Total"	"Montana"	"30"	"2012"	"2012"			233	1005141	23.2	22.6	19.6	25.6
	"Montana"	"30"	"2013"	"2013"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	19	1015165	Unreliable	Unreliable	1.2	3.1
	"Montana"	"30"	"2013"	"2013"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	49	1015165	4.8	5.1	3.7	6.7
	"Montana"	"30"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	34	1015165	3.3	3.5	2.4	5.0
	"Montana"	"30"	"2013"	"2013"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	18	1015165	Unreliable	Unreliable	1.1	3.0
	"Montana"	"30"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	95	1015165	9.4	8.6	6.9	10.6
"Total"	"Montana"	"30"	"2013"	"2013"			243	1015165	23.9	23.7	20.7	26.8
	"Montana"	"30"	"2014"	"2014"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	22	1023579	2.1	2.1	1.3	3.3
	"Montana"	"30"	"2014"	"2014"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	47	1023579	4.6	4.8	3.5	6.5
	"Montana"	"30"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	42	1023579	4.1	3.8	2.7	5.2
	"Montana"	"30"	"2014"	"2014"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	19	1023579	Unreliable	Unreliable	1.0	2.7
	"Montana"	"30"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	88	1023579	8.6	8.2	6.5	10.2
"Total"	"Montana"	"30"	"2014"	"2014"			251	1023579	24.5	23.9	20.8	27.0
	"Montana"	"30"	"2015"	"2015"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	19	1032949	Unreliable	Unreliable	1.0	2.8
	"Montana"	"30"	"2015"	"2015"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	49	1032949	4.7	4.8	3.5	6.4
	"Montana"	"30"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	50	1032949	4.8	4.8	3.5	6.4
	"Montana"	"30"	"2015"	"2015"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	18	1032949	Unreliable	Unreliable	0.9	2.5
	"Montana"	"30"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	106	1032949	10.3	9.6	7.7	11.5
"Total"	"Montana"	"30"	"2015"	"2015"			272	1032949	26.3	25.3	22.2	28.5
	"Montana"	"30"	"2016"	"2016"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	12	1042520	Unreliable	Unreliable	0.5	1.8
	"Montana"	"30"	"2016"	"2016"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	70	1042520	6.7	7.0	5.4	8.9
	"Montana"	"30"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	50	1042520	4.8	4.6	3.4	6.1
	"Montana"	"30"	"2016"	"2016"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	17	1042520	Unreliable	Unreliable	1.0	2.9
	"Montana"	"30"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	95	1042520	9.1	9.2	7.4	11.3
"Total"	"Montana"	"30"	"2016"	"2016"			267	1042520	25.6	25.9	22.7	29.1
	"Montana"	"30"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	11	1050493	Unreliable	Unreliable	0.6	2.0
	"Montana"	"30"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	10	1050493	Unreliable	Unreliable	0.4	1.5
	"Montana"	"30"	"2017"	"2017"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	52	1050493	5.0	5.3	4.0	7.0
	"Montana"	"30"	"2017"	"2017"	"Intentional self-harm by handgun discharge"	"X72"	57	1050493	5.4	5.1	3.8	6.6
	"Montana"	"30"	"2017"	"2017"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	17	1050493	Unreliable	Unreliable	0.8	2.2
	"Montana"	"30"	"2017"	"2017"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	139	1050493	13.2	12.9	10.7	15.2
"Total"	"Montana"	"30"	"2017"	"2017"			311	1050493	29.6	28.9	25.6	32.3
	"Montana"	"30"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	16	1062305	Unreliable	Unreliable	0.7	2.2
	"Montana"	"30"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	12	1062305	Unreliable	Unreliable	0.6	2.0
	"Montana"	"30"	"2018"	"2018"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	57	1062305	5.4	6.0	4.5	7.8
	"Montana"	"30"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	34	1062305	3.2	3.1	2.1	4.4
	"Montana"	"30"	"2018"	"2018"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	11	1062305	Unreliable	Unreliable	0.5	1.8
	"Montana"	"30"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	115	1062305	10.8	10.6	8.6	12.6
"Total"	"Montana"	"30"	"2018"	"2018"			265	1062305	24.9	24.9	21.8	28.0
"Total"	"Montana"	"30"					4348	19505632	22.3	21.8	21.2	22.5
	"Nebraska"	"31"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	16	1704764	Unreliable	Unreliable	0.6	1.6
	"Nebraska"	"31"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	32	1704764	1.9	1.9	1.3	2.6
	"Nebraska"	"31"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	25	1704764	1.5	1.5	0.9	2.2
	"Nebraska"	"31"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	80	1704764	4.7	4.8	3.8	5.9
"Total"	"Nebraska"	"31"	"1999"	"1999"			177	1704764	10.4	10.5	8.9	12.0
	"Nebraska"	"31"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	14	1711263	Unreliable	Unreliable	0.5	1.4
	"Nebraska"	"31"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	40	1711263	2.3	2.3	1.7	3.2
